Month,District_Name,Total_Positive,Total_Discharge,Total_Deaths
JULY_2020,Bagalakot,0.09,48,2.8
AUG_2020,Bagalakot,0.33,86.64,1.19
SEPT_2020,Bagalakot,0.54,90.7,1.04
OCT_2020,Bagalakot,0.69,97.67,1
DEC_2020,Bagalakot,0.72,98.79,0.99
JAN_2021,Bagalakot,0.73,98.92,0.99
FEB_2021,Bagalakot,0.73,98.95,0.99
MARCH_2021,Bagalakot,0.74,98.56,0.98
APRIL_2021,Bagalakot,0.91,87.49,0.86
MAY_2021,Bagalakot,1.74,92.39,0.85
JUNE_2021,Bagalakot,1.85,97.47,0.88
JULY_2020,Ballari,0.26,42.32,1.16
AUG_2020,Ballari,0.87,74.85,1.22
SEPT_2020,Ballari,1.29,91.45,1.47
OCT_2020,Ballari,1.52,95.67,1.44
DEC_2020,Ballari,1.58,97.99,1.54
JAN_2021,Ballari,1.6,98.37,1.53
FEB_2021,Ballari,1.6,98.31,1.52
MARCH_2021,Ballari,1.62,97.63,1.5
APRIL_2021,Ballari,2.1,81.34,1.41
MAY_2021,Ballari,3.73,88.65,1.48
JUNE_2021,Ballari,3.94,96.59,1.59
JULY_2020,Belagavi,0.07,28.42,2.17
AUG_2020,Belagavi,0.26,72.9,1.55
SEPT_2020,Belagavi,0.41,86.63,1.49
OCT_2020,Belagavi,0.52,96.53,1.35
DEC_2020,Belagavi,0.55,97.97,1.3
JAN_2021,Belagavi,0.56,98.3,1.28
FEB_2021,Belagavi,0.56,98.33,1.27
MARCH_2021,Belagavi,0.57,97.99,1.25
APRIL_2021,Belagavi,0.68,89.49,1.11
MAY_2021,Belagavi,1.38,76.02,0.84
JUNE_2021,Belagavi,1.57,95.84,1
JULY_2020,Bengaluru Rural,0.23,19.64,0.44
AUG_2020,Bengaluru Rural,0.66,60.98,0.46
SEPT_2020,Bengaluru Rural,0.97,80.61,0.99
OCT_2020,Bengaluru Rural,1.63,78.95,0.79
DEC_2020,Bengaluru Rural,1.84,97.76,0.83
JAN_2021,Bengaluru Rural,1.88,98.71,0.84
FEB_2021,Bengaluru Rural,1.9,98.78,0.85
MARCH_2021,Bengaluru Rural,1.98,96.35,0.84
APRIL_2021,Bengaluru Rural,2.98,73.34,0.75
MAY_2021,Bengaluru Rural,5.41,81.94,1.24
JUNE_2021,Bengaluru Rural,5.95,94.19,1.34
JULY_2020,Bengaluru Urban,0.58,30.42,1.85
AUG_2020,Bengaluru Urban,1.32,70.71,1.54
SEPT_2020,Bengaluru Urban,2.42,78.47,1.26
OCT_2020,Bengaluru Urban,3.5,88.61,1.15
DEC_2020,Bengaluru Urban,4.04,97.03,1.11
JAN_2021,Bengaluru Urban,4.15,97.94,1.1
FEB_2021,Bengaluru Urban,4.22,97.91,1.1
MARCH_2021,Bengaluru Urban,4.52,94.43,1.06
APRIL_2021,Bengaluru Urban,7.87,64.92,0.84
MAY_2021,Bengaluru Urban,12.09,86.3,1.15
JUNE_2021,Bengaluru Urban,12.55,92.97,1.28
JULY_2020,Bidar,0.13,66.67,3.39
AUG_2020,Bidar,0.27,84.56,2.97
SEPT_2020,Bidar,0.37,89.79,2.41
OCT_2020,Bidar,0.4,96.69,2.36
DEC_2020,Bidar,0.43,97.02,2.36
JAN_2021,Bidar,0.43,97.27,2.33
FEB_2021,Bidar,0.44,97.04,2.28
MARCH_2021,Bidar,0.53,87.31,2.02
APRIL_2021,Bidar,1.03,78.99,1.43
MAY_2021,Bidar,1.4,96.95,1.58
JUNE_2021,Bidar,1.42,98.14,1.62
JULY_2020,Chamarajanagara,0.07,59.79,1.05
AUG_2020,Chamarajanagara,0.23,75.57,1.52
SEPT_2020,Chamarajanagara,0.4,76.3,1.9
OCT_2020,Chamarajanagara,0.58,94.05,1.88
DEC_2020,Chamarajanagara,0.66,96.9,1.76
JAN_2021,Chamarajanagara,0.68,97.79,1.72
FEB_2021,Chamarajanagara,0.68,97.88,1.72
MARCH_2021,Chamarajanagara,0.69,97.67,1.7
APRIL_2021,Chamarajanagara,1.09,77.02,1.37
MAY_2021,Chamarajanagara,2.65,87.21,1.44
JUNE_2021,Chamarajanagara,3.01,96.01,1.45
JULY_2020,Chikkaballapura,0.14,60.97,1.92
AUG_2020,Chikkaballapura,0.33,79.96,1.51
SEPT_2020,Chikkaballapura,0.6,76.24,1.14
OCT_2020,Chikkaballapura,0.9,96.02,0.98
DEC_2020,Chikkaballapura,1.03,97.39,0.89
JAN_2021,Chikkaballapura,1.08,98.6,0.86
FEB_2021,Chikkaballapura,1.1,98.99,0.85
MARCH_2021,Chikkaballapura,1.12,98.53,0.84
APRIL_2021,Chikkaballapura,1.64,78.32,0.67
MAY_2021,Chikkaballapura,3.03,88.77,0.8
JUNE_2021,Chikkaballapura,3.41,96.48,0.88
JULY_2020,Chikkamagaluru,0.09,43.1,2.11
AUG_2020,Chikkamagaluru,0.36,68.16,1.78
SEPT_2020,Chikkamagaluru,0.77,79.62,1.39
OCT_2020,Chikkamagaluru,1.09,94.86,1.1
DEC_2020,Chikkamagaluru,1.2,98.11,1.02
JAN_2021,Chikkamagaluru,1.22,98.7,1
FEB_2021,Chikkamagaluru,1.23,98.87,0.99
MARCH_2021,Chikkamagaluru,1.25,98.06,0.99
APRIL_2021,Chikkamagaluru,1.59,85.07,0.86
MAY_2021,Chikkamagaluru,3.32,84.22,0.68
JUNE_2021,Chikkamagaluru,3.93,94.03,0.73
JULY_2020,Chitradurga,0.04,28.53,0.92
AUG_2020,Chitradurga,0.17,56.96,0.78
SEPT_2020,Chitradurga,0.44,80.32,0.52
OCT_2020,Chitradurga,0.74,94.59,0.48
DEC_2020,Chitradurga,0.86,98.4,0.48
JAN_2021,Chitradurga,0.89,98.39,0.47
FEB_2021,Chitradurga,0.9,99.04,0.46
MARCH_2021,Chitradurga,0.91,99.1,0.46
APRIL_2021,Chitradurga,1.04,93.07,0.43
MAY_2021,Chitradurga,1.77,75.64,0.48
JUNE_2021,Chitradurga,2.1,95.27,0.5
JULY_2020,Dakshina Kannada,0.27,46.01,2.45
AUG_2020,Dakshina Kannada,0.61,77,2.88
SEPT_2020,Dakshina Kannada,1.1,73.22,2.33
OCT_2020,Dakshina Kannada,1.45,91.96,2.24
DEC_2020,Dakshina Kannada,1.57,96.85,2.23
JAN_2021,Dakshina Kannada,1.62,96.96,2.18
FEB_2021,Dakshina Kannada,1.65,97.24,2.14
MARCH_2021,Dakshina Kannada,1.71,96.32,2.07
APRIL_2021,Dakshina Kannada,2.16,83.94,1.67
MAY_2021,Dakshina Kannada,3.65,86.82,1.2
JUNE_2021,Dakshina Kannada,4.29,91.19,1.2
JULY_2020,Davanagere,0.11,57.21,2.28
AUG_2020,Davanagere,0.49,73.82,2.01
SEPT_2020,Davanagere,0.83,79.84,1.5
OCT_2020,Davanagere,1.07,95.54,1.24
DEC_2020,Davanagere,1.13,98.29,1.2
JAN_2021,Davanagere,1.15,98.48,1.18
FEB_2021,Davanagere,1.15,98.72,1.18
MARCH_2021,Davanagere,1.16,98.58,1.17
APRIL_2021,Davanagere,1.34,91.58,1.06
MAY_2021,Davanagere,2.18,88.98,0.84
JUNE_2021,Davanagere,2.51,95.51,1.05
JULY_2020,Dharwad,0.22,42.26,3.2
AUG_2020,Dharwad,0.61,76.5,2.87
SEPT_2020,Dharwad,0.95,82.69,2.79
OCT_2020,Dharwad,1.12,94.66,2.72
DEC_2020,Dharwad,1.18,96.73,2.78
JAN_2021,Dharwad,1.2,96.97,2.76
FEB_2021,Dharwad,1.21,97.02,2.77
MARCH_2021,Dharwad,1.24,95.84,2.72
APRIL_2021,Dharwad,1.65,85.37,2.31
MAY_2021,Dharwad,3.02,87.93,1.74
JUNE_2021,Dharwad,3.23,96.61,1.93
JULY_2020,Gadag,0.13,35.48,2.32
AUG_2020,Gadag,0.5,69.98,1.48
SEPT_2020,Gadag,0.86,92.18,1.44
OCT_2020,Gadag,0.99,96.66,1.34
DEC_2020,Gadag,1.02,98.53,1.29
JAN_2021,Gadag,1.03,98.62,1.28
FEB_2021,Gadag,1.03,98.65,1.28
MARCH_2021,Gadag,1.05,97.94,1.26
APRIL_2021,Gadag,1.19,93.2,1.11
MAY_2021,Gadag,2.21,88.2,1.06
JUNE_2021,Gadag,2.41,97.79,1.15
JULY_2020,Hassan,0.12,41.41,2.76
AUG_2020,Hassan,0.45,65.98,2.2
SEPT_2020,Hassan,0.95,77.28,1.75
OCT_2020,Hassan,1.4,93.73,1.48
DEC_2020,Hassan,1.58,97.78,1.4
JAN_2021,Hassan,1.6,98.31,1.38
FEB_2021,Hassan,1.62,98.32,1.38
MARCH_2021,Hassan,1.66,97.11,1.37
APRIL_2021,Hassan,2.21,82.11,1.26
MAY_2021,Hassan,4.76,81.86,1.07
JUNE_2021,Hassan,5.6,94.1,1.08
JULY_2020,Haveri,0.06,55.8,2.52
AUG_2020,Haveri,0.27,69.16,2.51
SEPT_2020,Haveri,0.54,76.97,1.87
OCT_2020,Haveri,0.64,95.72,1.81
DEC_2020,Haveri,0.69,98.12,1.73
JAN_2021,Haveri,0.69,98.19,1.73
FEB_2021,Haveri,0.69,98.22,1.72
MARCH_2021,Haveri,0.69,98.15,1.72
APRIL_2021,Haveri,0.77,93.14,1.8
MAY_2021,Haveri,1.23,89.59,2.23
JUNE_2021,Haveri,1.35,96.03,2.65
JULY_2020,Kalburgi,0.21,50.89,1.79
AUG_2020,Kalburgi,0.46,81.27,1.79
SEPT_2020,Kalburgi,0.67,82.37,1.62
OCT_2020,Kalburgi,0.77,95.9,1.58
DEC_2020,Kalburgi,0.82,97.54,1.53
JAN_2021,Kalburgi,0.84,97.61,1.52
FEB_2021,Kalburgi,0.86,97.74,1.5
MARCH_2021,Kalburgi,0.93,93.55,1.43
APRIL_2021,Kalburgi,1.53,77.4,1.19
MAY_2021,Kalburgi,2.34,95.75,1.28
JUNE_2021,Kalburgi,2.38,98.31,1.32
JULY_2020,Kodagu,0.08,69.23,2.16
AUG_2020,Kodagu,0.26,80.29,1.47
SEPT_2020,Kodagu,0.5,79.2,1.31
OCT_2020,Kodagu,0.88,94.44,1.3
DEC_2020,Kodagu,1.04,97.04,1.24
JAN_2021,Kodagu,1.08,97.54,1.2
FEB_2021,Kodagu,1.11,97.92,1.19
MARCH_2021,Kodagu,1.15,97.81,1.15
APRIL_2021,Kodagu,1.99,65.99,0.77
MAY_2021,Kodagu,4.51,90.09,0.89
JUNE_2021,Kodagu,5.27,93.92,0.88
JULY_2020,Kolara,0.09,36.98,1.89
AUG_2020,Kolara,0.23,77.21,1.82
SEPT_2020,Kolara,0.38,78.69,1.45
OCT_2020,Kolara,0.54,92.28,1.85
DEC_2020,Kolara,0.63,96.9,1.81
JAN_2021,Kolara,0.65,97.78,1.77
FEB_2021,Kolara,0.66,97.86,1.75
MARCH_2021,Kolara,0.69,96.66,1.7
APRIL_2021,Kolara,1.21,78.21,1.16
MAY_2021,Kolara,2.51,81.3,0.9
JUNE_2021,Kolara,2.81,96.46,1.06
JULY_2020,Koppal,0.08,55.19,1.76
AUG_2020,Koppal,0.46,70.6,2
SEPT_2020,Koppal,0.83,81.74,1.97
OCT_2020,Koppal,0.96,95.66,2.04
DEC_2020,Koppal,1,97.51,2.01
JAN_2021,Koppal,1,97.95,2
FEB_2021,Koppal,1,97.94,2
MARCH_2021,Koppal,1.01,97.27,1.99
APRIL_2021,Koppal,1.25,85.16,1.62
MAY_2021,Koppal,2.28,87.15,1.33
JUNE_2021,Koppal,2.5,96.57,1.45
JULY_2020,Mandya,0.09,61.09,0.64
AUG_2020,Mandya,0.3,68.52,1.14
SEPT_2020,Mandya,0.61,80.13,0.94
OCT_2020,Mandya,0.93,93.79,0.84
DEC_2020,Mandya,1.08,98.49,0.76
JAN_2021,Mandya,1.09,99.05,0.77
FEB_2021,Mandya,1.1,99.1,0.77
MARCH_2021,Mandya,1.12,98,0.77
APRIL_2021,Mandya,1.7,80.62,0.7
MAY_2021,Mandya,3.38,90.04,0.73
JUNE_2021,Mandya,3.84,96.35,0.77
JULY_2020,Mysuru,0.14,35.97,3.37
AUG_2020,Mysuru,0.6,71.05,2.47
SEPT_2020,Mysuru,1.15,77.27,2.14
OCT_2020,Mysuru,1.59,94.57,2.01
DEC_2020,Mysuru,1.75,97.22,1.94
JAN_2021,Mysuru,1.78,97.65,1.92
FEB_2021,Mysuru,1.8,97.72,1.9
MARCH_2021,Mysuru,1.86,96.75,1.89
APRIL_2021,Mysuru,2.56,84.4,1.57
MAY_2021,Mysuru,4.76,88.3,1.14
JUNE_2021,Mysuru,5.44,94.99,1.25
JULY_2020,Raichur,0.12,59.66,1.1
AUG_2020,Raichur,0.37,79.05,1.23
SEPT_2020,Raichur,0.58,85.97,1.2
OCT_2020,Raichur,0.69,96.65,1.12
DEC_2020,Raichur,0.73,98.45,1.12
JAN_2021,Raichur,0.74,98.77,1.11
FEB_2021,Raichur,0.74,98.81,1.1
MARCH_2021,Raichur,0.75,98.07,1.09
APRIL_2021,Raichur,1.11,73.06,0.78
MAY_2021,Raichur,1.97,87.27,0.71
JUNE_2021,Raichur,2.06,98.43,0.8
JULY_2020,Ramanagara,0.1,29.77,1.05
AUG_2020,Ramanagara,0.3,73.64,0.88
SEPT_2020,Ramanagara,0.48,87.29,0.91
OCT_2020,Ramanagara,0.63,95.55,1.04
DEC_2020,Ramanagara,0.68,98.5,1.03
JAN_2021,Ramanagara,0.68,98.88,1.04
FEB_2021,Ramanagara,0.69,98.88,1.04
MARCH_2021,Ramanagara,0.69,98.35,1.03
APRIL_2021,Ramanagara,0.98,82.71,1.04
MAY_2021,Ramanagara,2.06,89.88,1.17
JUNE_2021,Ramanagara,2.17,97.54,1.23
JULY_2020,Shivamogga,0.1,33.37,1.57
AUG_2020,Shivamogga,0.47,65.49,1.41
SEPT_2020,Shivamogga,0.93,79.04,1.79
OCT_2020,Shivamogga,1.18,95.06,1.68
DEC_2020,Shivamogga,1.26,97.48,1.58
JAN_2021,Shivamogga,1.27,98.15,1.56
FEB_2021,Shivamogga,1.28,98.17,1.55
MARCH_2021,Shivamogga,1.3,97.62,1.53
APRIL_2021,Shivamogga,1.57,86.66,1.38
MAY_2021,Shivamogga,2.98,85.6,1.55
JUNE_2021,Shivamogga,3.56,94.55,1.54
JULY_2020,Tumakuru,0.06,28.86,3.11
AUG_2020,Tumakuru,0.21,65.5,2.63
SEPT_2020,Tumakuru,0.49,71.67,1.78
OCT_2020,Tumakuru,0.77,90.61,1.64
DEC_2020,Tumakuru,0.92,97.07,1.54
JAN_2021,Tumakuru,0.94,97.34,1.53
FEB_2021,Tumakuru,0.96,97.51,1.52
MARCH_2021,Tumakuru,1.01,96.05,1.48
APRIL_2021,Tumakuru,1.71,71.57,1.02
MAY_2021,Tumakuru,3.86,87.56,0.87
JUNE_2021,Tumakuru,4.26,96.32,0.88
JULY_2020,Udupi,0.37,55.75,0.67
AUG_2020,Udupi,0.99,77.42,0.83
SEPT_2020,Udupi,1.46,87.31,0.86
OCT_2020,Udupi,1.86,95.79,0.83
DEC_2020,Udupi,1.96,98.86,0.82
JAN_2021,Udupi,1.98,99,0.81
FEB_2021,Udupi,2.01,98.89,0.8
MARCH_2021,Udupi,2.14,96.64,0.76
APRIL_2021,Udupi,2.68,90.95,0.63
MAY_2021,Udupi,4.99,90.76,0.56
JUNE_2021,Udupi,5.57,96.97,0.57
JULY_2020,Uttara Kannada,0.15,61.98,1.09
AUG_2020,Uttara Kannada,0.34,74.83,1.07
SEPT_2020,Uttara Kannada,0.66,72.79,1.17
OCT_2020,Uttara Kannada,0.89,92.48,1.21
DEC_2020,Uttara Kannada,0.99,98.24,1.24
JAN_2021,Uttara Kannada,1.01,98.34,1.22
FEB_2021,Uttara Kannada,1.02,98.63,1.21
MARCH_2021,Uttara Kannada,1.04,97.76,1.2
APRIL_2021,Uttara Kannada,1.31,87.71,1.1
MAY_2021,Uttara Kannada,3.15,87.89,1.27
JUNE_2021,Uttara Kannada,3.57,96.07,1.32
JULY_2020,Vijayapura,0.13,71.31,1.18
AUG_2020,Vijayapura,0.31,87.29,1.59
SEPT_2020,Vijayapura,0.44,90.92,1.73
OCT_2020,Vijayapura,0.58,94.26,1.55
DEC_2020,Vijayapura,0.65,98.05,1.44
JAN_2021,Vijayapura,0.66,98.47,1.43
FEB_2021,Vijayapura,0.67,98.19,1.42
MARCH_2021,Vijayapura,0.69,97.29,1.38
APRIL_2021,Vijayapura,0.99,83.55,1.1
MAY_2021,Vijayapura,1.53,92.91,1.23
JUNE_2021,Vijayapura,1.65,97.46,1.29
JULY_2020,Yadgir,0.2,80.06,0.17
AUG_2020,Yadgir,0.46,77.03,0.74
SEPT_2020,Yadgir,0.72,90.79,0.6
OCT_2020,Yadgir,0.86,97.1,0.61
DEC_2020,Yadgir,0.9,99.18,0.58
JAN_2021,Yadgir,0.91,99.29,0.57
FEB_2021,Yadgir,0.91,99.32,0.57
MARCH_2021,Yadgir,0.92,98.77,0.56
APRIL_2021,Yadgir,1.21,83.47,0.61
MAY_2021,Yadgir,2.27,92.39,0.76
JUNE_2021,Yadgir,2.33,98.67,0.75
JULY_2020,KARNATAKA,0.15,47.87,1.83
AUG_2020,KARNATAKA,0.45,73.76,1.65
SEPT_2020,KARNATAKA,0.78,81.92,1.49
OCT_2020,KARNATAKA,1.05,94.2,1.42
DEC_2020,KARNATAKA,1.15,97.81,1.39
JAN_2021,KARNATAKA,1.17,98.21,1.37
FEB_2021,KARNATAKA,1.18,98.3,1.36
MARCH_2021,KARNATAKA,1.22,97.01,1.33
APRIL_2021,KARNATAKA,1.74,82.33,1.12
MAY_2021,KARNATAKA,3.21,87.61,1.1
JUNE_2021,KARNATAKA,3.55,96.03,1.18
